Name,Longitude,Latitude,Elevation
X 323,-80.3761111111,37.9813888889,
X 325,-80.5613888889,37.7488888889,
X 328,-80.2805555556,37.7994444444,
Y 214,-80.6869444444,37.9652777778,
Y 215,-80.4927777778,37.8094444444,
Y 216,-80.6208333333,37.8188888889,
Y 217,-80.5975,37.8386111111,
Y 229,-80.7072222222,38.0572222222,
Y 230,-80.4636111111,38.0041666667,
Y 232,-80.6227777778,37.9383333333,
Y 236,-80.8713888889,38.0769444444,
Y 238,-80.51,38.1780555556,
Y 242,-80.3951583333,38.22,
Y 243,-80.4666666667,38.0755555556,
Y 249,-80.365,38.0977777778,
Y 323,-80.3858333333,37.9744444444,
Y 325,-80.5794444444,37.7391666667,
Z 214,-80.6758333333,37.9722222222,
Z 216,-80.6338888889,37.8236111111,
Z 217,-80.5925,37.8455555556,
Z 229,-80.7080555556,38.0666666667,
Z 232,-80.6094444444,37.94,
Z 236,-80.8666666667,38.0763888889,
Z 238,-80.515,38.1858333333,
Z 242,-80.4008416667,38.2278583333,
Z 323,-80.3791666667,37.9611111111,
Z 325,-80.5966666667,37.7291666667,
Z 328,-80.2330555556,37.7822222222,
A 18,-78.8641666667,39.2158333333,
D 18,-78.8422222222,39.2491666667,
D 19 RESET 1958,-78.4419444444,39.3022222222,
H 18,-78.8158333333,39.3286111111,
SPRING GAP,-78.5036815361,39.4332593722,
U 18,-78.7141666667,39.3291666667,
W 18,-78.6608333333,39.3152777778,
Y 18,-78.5963888889,39.2952777778,
Y 18 RESET 1956,-78.5963888889,39.2952777778,
3010 DOVE,-79.0483197639,38.7915499333,
BALD KNOB USGS 1956,-78.7427357667,39.0971670056,
BEAR,-78.7824233444,39.0382963583,
CONWAY,-79.0022038972,39.0140269028,
CRANBERRY,-79.0032094,39.1121583389,
DUTCH,-78.6396215917,39.1267851083,
E 60 RESET 1981,-78.8664444444,38.8768611111,
HOMM,-78.7543544222,38.9951996083,
HOMMON USGS 1956,-78.7542586806,38.9955034361,
INKERMAN,-78.7655005861,39.1291315333,
LOST,-78.8952981528,38.9139843028,
MATHIAS,-78.8851335889,38.8886062139,
MOOREFIELD,-78.9462831083,39.0684712778,
ORNDORFF,-78.8570662278,39.1227674639,
RAYMOND,-78.8093758222,39.0904658139,
SHORT,-78.7428091444,39.0971549167,
Y 17,-78.9313888889,39.1252777778,
Z 17,-78.8947222222,39.1822222222,
10 WVGS 1941,-80.3114255611,39.3760211972,
A 23,-80.3519444444,39.2897222222,
A 23 RESET 1939,-80.3519444444,39.2897222222,
B 23,-80.3527777778,39.3113888889,
C 320,-80.2580555556,39.2813888889,
CHARITY,-80.2459933111,39.1097123333,
E 320,-80.2194444444,39.2936111111,
F 80,-80.4586111111,39.2811111111,
FURNER,-80.5227005889,39.2565200167,
G 80,-80.4766666667,39.2811111111,
J 23,-80.4155555556,39.3694444444,
K 23,-80.4453888889,39.3806388889,
L 23,-80.4621666667,39.3896388889,
N 137,-80.5044444444,39.4138888889,
Q 9 RESET 1967,-80.3352222222,39.1894722222,
R 9,-80.3458333333,39.2161111111,
ROBINSON,-80.3117723278,39.3757456083,
T 319,-80.4688888889,39.2780555556,
T 9 RESET,-80.3558333333,39.2688888889,
U 79,-80.2727777778,39.2883333333,
V 79,-80.2966666667,39.2877777778,
W 137,-80.5361111111,39.4136111111,
X 137,-80.5233333333,39.4127777778,
